Domains,Labels,Sources
bcust66uecoronavpn.harvestapp.com,0,clean
bcust91ecoronavpn.harvestapp.com,0,clean
bd.ivirus.ru,0,clean
bd.siaga-covid19-apimerch.0.rch.line-apps.com,0,clean
bd2f24stopcovid19.monday.com,0,clean
bd4013-covid19-violncia-contra-a-mulher.monday.com,0,clean
bda-gegen-corona.de,1,['Fortinet']
bdagovcovid.resqwest.com,0,clean
bdatabasesasil-covid.m.ppmail1.paddypower.it,0,clean
bdb-covid-19.foxycart.ru,0,clean
bdc-test.siaga-covid19-apimerch.0.rch.line-apps.com,0,clean
bdc0viddel.tweakers.net,0,clean
bdcautilityponeocovid19.saorizonblue.zen.ly,0,clean
bdcorona.com,1,['Fortinet']
bdcoronalive.com,1,['Fortinet']
bdcoronamap.com,1,['Fortinet']
bdcovid-19.com,0,clean
bdcovid19.com,1,['Fortinet']
bdcovid19.net,1,['Fortinet']
bdd.fsrar.ru.ivirus.ru,0,clean
bdecisivedatauecoronavpn.harvestapp.com,0,clean
bdev.group.ivirus.ru,0,clean
bdia.ru.ivirus.ru,0,clean
bdiabet.ru.ivirus.ru,0,clean
bdis.kz.ivirus.ru,0,clean
bdisk.abc-coronavirus.planethoster.world,0,clean
bdisk.aboutcoronavirus.net,0,clean
bdisk.alarmacoronavirus.es,0,clean
bdisk.allaboutcoronaviruses.com,0,clean
bdisk.antivirusforsalenow002.s3.amazonaws.com,0,clean
bdisk.avoidingthecoronavirus.com,0,clean
bdisk.bestcoronavirusprotect.tk,0,clean
bdisk.bestkoronavirus.com,0,clean
bdisk.boostimmunesystemforcoronavirus.com,0,clean
bdisk.brasilsemcoronavirus.com.br,0,clean
bdisk.business-resource-facebook-covid-19.com,0,clean
bdisk.businessinthetimeofcoronavirus.com,0,clean
bdisk.camglencovid.org,0,clean
bdisk.celebswithcoronavirus.com,0,clean
bdisk.centromedicovidaysalud.cl,0,clean
bdisk.comoprevenirelcoronavirus.com,0,clean
bdisk.contraelcoronavirusajedrez.com,0,clean
bdisk.cornovirus.it,0,clean
bdisk.corona-virus-map.org,0,clean
bdisk.corona-virus-treatment.info,0,clean
bdisk.corona-virusprevention.com,0,clean
bdisk.corona19virus.online,0,clean
bdisk.coronaovirus.com,0,clean
bdisk.coronavirus-2020.world,0,clean
bdisk.coronavirus-app.de,0,clean
bdisk.coronavirus-covid19.live,0,clean
bdisk.coronavirus-dr.cl,0,clean
bdisk.coronavirus-elixir.com,0,clean
bdisk.coronavirus-info.club,0,clean
bdisk.coronavirus-masks.net,0,clean
bdisk.coronavirus-portugal.com,0,clean
bdisk.coronavirus-pray-now.com,0,clean
bdisk.coronavirus-products.com,0,clean
bdisk.coronavirus-stats.live,0,clean
bdisk.coronavirus-update.live,0,clean
bdisk.coronavirus.ba,0,clean
bdisk.coronavirus.bio.br,0,clean
bdisk.coronavirus.ci,0,clean
bdisk.coronavirus.co.ke,0,clean
bdisk.coronavirus.com.ng,0,clean
bdisk.coronavirus.holacliente.com,0,clean
bdisk.coronavirus.hr,0,clean
bdisk.coronavirus.in.net,0,clean
bdisk.coronavirus.memorial,0,clean
bdisk.coronavirus.org.do,0,clean
bdisk.coronavirus.org.pe,0,clean
bdisk.coronavirus.org.ro,0,clean
bdisk.coronavirus.partners,0,clean
bdisk.coronavirus.singles,0,clean
bdisk.coronavirus.su.domains,0,clean
bdisk.coronavirus.sx,0,clean
bdisk.coronavirus.town,0,clean
bdisk.coronavirus.web.tr,0,clean
bdisk.coronavirus100.com,0,clean
bdisk.coronavirus19forum.com,0,clean
bdisk.coronavirus19live.com,0,clean
bdisk.coronavirus2020.com.pl,0,clean
bdisk.coronavirus5k.com,0,clean
bdisk.coronavirusafter.com,0,clean
bdisk.coronavirusalert.live,0,clean
bdisk.coronavirusalerts.net,0,clean
bdisk.coronavirusalerts.xyz,0,clean
bdisk.coronavirusandchill.com,0,clean
bdisk.coronavirusandmask.com,0,clean
bdisk.coronavirusapp.site,0,clean
bdisk.coronavirusautotest.com,0,clean
bdisk.coronavirusbloodtest.com,0,clean
bdisk.coronavirusbuy.com,0,clean
bdisk.coronaviruscasesintheus.com,0,clean
bdisk.coronaviruscenter.live,0,clean
bdisk.coronaviruschance.com,0,clean
bdisk.coronaviruscombat.com,0,clean
bdisk.coronaviruscov19.com,0,clean
bdisk.coronaviruscovid-19.news,0,clean
bdisk.coronaviruscovid19.com.br,0,clean
bdisk.coronaviruscovid19.netsons.org,0,clean
bdisk.coronaviruscovid19.world,0,clean
bdisk.coronaviruscures.com,0,clean
bdisk.coronavirusdaily.net,0,clean
bdisk.coronavirusdating.com,0,clean
bdisk.coronavirusdecontaminationservices.com,0,clean
bdisk.coronavirusdonate.org,0,clean
bdisk.coronaviruseffect.in,0,clean
bdisk.coronavirusenelperu.com,0,clean
bdisk.coronavirusfakenews.xyz,0,clean
bdisk.coronavirusfastclean.com,0,clean
bdisk.coronavirusgo.com,0,clean
bdisk.coronavirushater.com,0,clean
bdisk.coronavirusi.info,0,clean
bdisk.coronavirusindia.live,0,clean
bdisk.coronavirusindiaclub.com,0,clean
bdisk.coronavirusinformation.xyz,0,clean
bdisk.coronavirusinindia.com,0,clean
bdisk.coronavirusinusa.net,0,clean
bdisk.coronavirusinvestingstrategy.com,0,clean
bdisk.coronavirusireland.ie,0,clean
bdisk.coronaviruslifekit.com,0,clean
bdisk.coronaviruslive.ca,0,clean
bdisk.coronaviruslive.co.za,0,clean
bdisk.coronaviruslive.stream,0,clean
bdisk.coronavirusliveoutbreak.com,0,clean
bdisk.coronavirusman.com,0,clean
bdisk.coronavirusmask24.com,0,clean
bdisk.coronavirusmemes.store,0,clean
bdisk.coronavirusmexico.com.mx,0,clean
bdisk.coronavirusmexico.info,0,clean
bdisk.coronavirusmexico.org.mx,0,clean
bdisk.coronavirusmta.com,0,clean
bdisk.coronavirusmussomeli.it,0,clean
bdisk.coronavirusnews.life,0,clean
bdisk.coronavirusnewsnetwork.com,0,clean
bdisk.coronavirusnewsstories.com,0,clean
bdisk.coronavirusny.net,0,clean
bdisk.coronavirusoasis.com,0,clean
bdisk.coronavirusonline.net,0,clean
bdisk.coronavirusonline.solutions,0,clean
bdisk.coronavirusoutbrake.com,0,clean
bdisk.coronavirusoutbreak.markets,0,clean
bdisk.coronavirusoutbreaks.com.au,0,clean
bdisk.coronavirusoutbreaktees.com,0,clean
bdisk.coronaviruspatch.com,0,clean
bdisk.coronavirusperuibe.com.br,0,clean
bdisk.coronaviruspost.com,0,clean
bdisk.coronaviruspost.in,0,clean
bdisk.coronavirusprevents.com,0,clean
bdisk.coronavirusprotectingmask.com,0,clean
bdisk.coronavirusprotection101.com,0,clean
bdisk.coronaviruspuglia.netsons.org,0,clean
bdisk.coronavirusquebec.com,0,clean
bdisk.coronavirusrefugee.com,0,clean
bdisk.coronavirusreport.live,0,clean
bdisk.coronavirusresources.net,0,clean
bdisk.coronavirusrj.com.br,0,clean
bdisk.coronaviruss.co.il,0,clean
bdisk.coronavirussos.com,0,clean
bdisk.coronavirusstatistics.org,0,clean
bdisk.coronavirussupportgroup.org,0,clean
bdisk.coronavirussurvivorstory.com,0,clean
bdisk.coronavirustalk.xyz,0,clean
bdisk.coronavirustelangana.in,0,clean
bdisk.coronavirustestingcenters.org,0,clean
bdisk.coronavirustop.info,0,clean
bdisk.coronavirusturkiye.info,0,clean
bdisk.coronavirusuncensored.com,0,clean
bdisk.coronavirusupdates.pk,0,clean
bdisk.coronavirusupdates.today,0,clean
bdisk.coronavirusuptodate.com,0,clean
bdisk.coronavirusuvlight.com,0,clean
bdisk.coronavirusv.com,0,clean
bdisk.coronavirusvaccines.net,0,clean
bdisk.coronavirusvids.com,0,clean
bdisk.coronaviruswellnessquarantine.com,0,clean
bdisk.coronavirusya.com,0,clean
bdisk.coronavirusyoga.com,0,clean
bdisk.coroncovid-19.com,0,clean
bdisk.coronovirus.in,0,clean
bdisk.covid-19-ph3.yj.fr,0,clean
bdisk.covid-19-shop.com,0,clean
bdisk.covid-19.global,0,clean
bdisk.covid-19.johanhoyos.me,0,clean
bdisk.covid-19.org.mx,0,clean
bdisk.covid-19.yn.fr,0,clean
bdisk.covid-19bloodtest.com,0,clean
bdisk.covid-19colombia.com,0,clean
bdisk.covid-19dentalupdate.com,0,clean
bdisk.covid-19hype.xyz,0,clean
bdisk.covid-19live.com,0,clean
bdisk.covid-19loan.com,0,clean
bdisk.covid-19recession.com,0,clean
bdisk.covid-19sbarelief.com,0,clean
bdisk.covid-diecinueve.com,0,clean
bdisk.covid.bel3raby.net,0,clean
bdisk.covid.blue,0,clean
bdisk.covid.id,0,clean
bdisk.covid.ma,0,clean
bdisk.covid101.net,0,clean
bdisk.covid19-maroc.com,0,clean
bdisk.covid19-md.tk,0,clean
