Domain,Num_words,Num_chars,Hyphen,Entropy_sdsu,Entropy_nosdsu,Entropy_nosu,Tranco_Rank,Longest_word_ratio,Typos,Freenom_TLD,Other_numbers,Subdomain levels,Label
210.213.146.169032dev.covid.host.adzu.edu.ph,12,42,0,4.078638720860854,2.0,4.046762824854522,1,0.13636363636363635,0,0,1,6,0
213.146.169032www.covid-19.host.adzu.edu.ph,12,41,1,4.236468023103722,2.0,4.159799224314526,1,0.13953488372093023,0,0,1,5,0
2368fs-intake-covid19screen.app.cloud.gov,11,39,1,4.503416638553355,2.321928094887362,4.465945933079575,1,0.14634146341463414,0,0,1,2,0
324.covid19screen.fr.cloud.gov,8,28,0,4.056564762130954,2.321928094887362,4.026986833359286,1,0.2,0,0,1,3,0
365online-covid19.edu.jo,7,23,1,3.9701755214643453,3.734521664779752,3.734521664779752,0,0.25,0,0,1,0,0
365online-covid19.gov.az,7,23,1,4.053508854797679,3.734521664779752,3.734521664779752,0,0.25,0,0,1,0,0
365online-covid19.gov.jo,7,23,1,3.91829583405449,3.734521664779752,3.734521664779752,0,0.25,0,0,1,0,0
8335.api.covid19.moh.gov.et,8,25,0,3.9265716511782744,1.584962500721156,3.7841837197791888,1,0.14814814814814814,0,0,1,3,0
8335.covid19.moh.gov.et,7,21,0,3.7950885863977324,1.584962500721156,3.625,1,0.17391304347826086,0,0,1,2,0
_acme-challenge.covid19stats.gov.gr,8,33,1,4.16429908806447,3.251629167387823,4.0836169753972325,0,0.2571428571428571,0,0,0,1,0
_dmarc.covid19.info.gov.pg,8,24,0,3.8252517372886503,2.0,3.721611723969903,0,0.15384615384615385,0,0,0,2,0
_dmarc.covid19alivioeconomico.gov.ao,11,34,0,3.6722542525285995,1.584962500721156,3.7030407100708658,1,0.2222222222222222,0,0,0,2,0
about.covid19-testing.northeastern.edu,7,36,1,4.040709013945502,2.918295834054489,4.0323362829877745,1,0.3157894736842105,0,0,0,2,0
acaocovid19.santana.ap.gov.br,9,27,0,3.6764409086968692,1.8423709931771088,3.3211043305784913,0,0.2413793103448276,0,0,0,1,0
accountscovid.stilingue.com.br,8,28,0,3.8980685120588388,2.94770277922009,3.675310868912364,0,0.26666666666666666,0,0,0,1,0
acessecovid.com.br,5,17,0,3.4613201402110083,2.9139770731827523,2.9139770731827523,0,0.2222222222222222,0,0,0,0,0
acoescoronavirus.cacimbinhas.al.gov.br,12,36,0,3.7775511192086597,2.9139770731827523,3.5836169753972325,0,0.2894736842105263,0,0,0,1,0
acoescoronavirus.chapreta.al.gov.br,9,33,0,3.804582217613529,2.75,3.593269689515107,0,0.3142857142857143,0,0,0,1,0
acoescoronavirus.paodeacucar.al.gov.br,12,36,0,3.692153421897171,2.845350936622437,3.4371932086075945,0,0.2894736842105263,0,0,0,1,0
